Index,Year,Level,Sport,First Place,First Place Hometown,Second Place,Second Place Hometown,Third Place,Third Place Hometown,Fourth Place,Fourth Place Hometown,Win Streak
224,1945,Pro,NHL,Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",Boston Bruins,"Greater Boston, MA",Montreal Canadiens,"Montreal, QC",1
230,1946,Pro,NHL,Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",Detroit Red Wings,"Metro Detroit, MI",Chicago Black Hawks,"Chicago, IL",1
237,1947,Pro,NHL,Toronto Maple Leafs,"Toronto, ON",Montreal Canadiens,"Montreal, QC",Detroit Red Wings,"Metro Detroit, MI",Boston Bruins,"Greater Boston, MA",1
245,1948,Pro,NHL,Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",New York Rangers,New York Metro Area,Boston Bruins,"Greater Boston, MA",2
253,1949,Pro,NHL,Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",Boston Bruins,"Greater Boston, MA",Montreal Canadiens,"Montreal, QC",3
260,1950,Pro,NHL,Detroit Red Wings,"Metro Detroit, MI",New York Rangers,New York Metro Area,Montreal Canadiens,"Montreal, QC",Toronto Maple Leafs,"Toronto, ON",1
269,1951,Pro,NHL,Toronto Maple Leafs,"Toronto, ON",Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",Detroit Red Wings,"Metro Detroit, MI",1
276,1952,Pro,NHL,Detroit Red Wings,"Metro Detroit, MI",Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",Toronto Maple Leafs,"Toronto, ON",1
284,1953,Pro,NHL,Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",Detroit Red Wings,"Metro Detroit, MI",Chicago Black Hawks,"Chicago, IL",1
292,1954,Pro,NHL,Detroit Red Wings,"Metro Detroit, MI",Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",Toronto Maple Leafs,"Toronto, ON",1
301,1955,Pro,NHL,Detroit Red Wings,"Metro Detroit, MI",Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",Toronto Maple Leafs,"Toronto, ON",2
310,1956,Pro,NHL,Montreal Canadiens,"Montreal, QC",Detroit Red Wings,"Metro Detroit, MI",Toronto Maple Leafs,"Toronto, ON",New York Rangers,New York Metro Area,1
318,1957,Pro,NHL,Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",New York Rangers,New York Metro Area,Detroit Red Wings,"Metro Detroit, MI",2
327,1958,Pro,NHL,Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",New York Rangers,New York Metro Area,Detroit Red Wings,"Metro Detroit, MI",3
336,1959,Pro,NHL,Montreal Canadiens,"Montreal, QC",Toronto Maple Leafs,"Toronto, ON",Boston Bruins,"Greater Boston, MA",Chicago Black Hawks,"Chicago, IL",4
344,1960,Pro,NHL,Montreal Canadiens,"Montreal, QC",Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",Chicago Black Hawks,"Chicago, IL",5
353,1961,Pro,NHL,Chicago Black Hawks,"Chicago, IL",Detroit Red Wings,"Metro Detroit, MI",Toronto Maple Leafs,"Toronto, ON",Montreal Canadiens,"Montreal, QC",1
362,1962,Pro,NHL,Toronto Maple Leafs,"Toronto, ON",Chicago Black Hawks,"Chicago, IL",New York Rangers,New York Metro Area,Montreal Canadiens,"Montreal, QC",1
369,1963,Pro,NHL,Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",Chicago Black Hawks,"Chicago, IL",Montreal Canadiens,"Montreal, QC",2
377,1964,Pro,NHL,Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",Chicago Black Hawks,"Chicago, IL",Montreal Canadiens,"Montreal, QC",3
388,1965,Pro,NHL,Montreal Canadiens,"Montreal, QC",Chicago Black Hawks,"Chicago, IL",Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",1
397,1966,Pro,NHL,Montreal Canadiens,"Montreal, QC",Detroit Red Wings,"Metro Detroit, MI",Chicago Black Hawks,"Chicago, IL",Toronto Maple Leafs,"Toronto, ON",2
407,1967,Pro,NHL,Toronto Maple Leafs,"Toronto, ON",Montreal Canadiens,"Montreal, QC",New York Rangers,New York Metro Area,Chicago Black Hawks,"Chicago, IL",1
415,1968,Pro,NHL,Montreal Canadiens,"Montreal, QC",St. Louis Blues,"St. Louis, MO",Minnesota North Stars,"Twin Cities, MN",Chicago Black Hawks,"Chicago, IL",1
423,1969,Pro,NHL,Montreal Canadiens,"Montreal, QC",St. Louis Blues,"St. Louis, MO",Los Angeles Kings,"Greater Los Angeles, CA",Boston Bruins,"Greater Boston, MA",2
431,1970,Pro,NHL,Boston Bruins,"Greater Boston, MA",St. Louis Blues,"St. Louis, MO",Pittsburgh Penguins,"Pittsburgh, PA",Chicago Black Hawks,"Chicago, IL",1
441,1971,Pro,NHL,Montreal Canadiens,"Montreal, QC",Chicago Black Hawks,"Chicago, IL",New York Rangers,New York Metro Area,Minnesota North Stars,"Twin Cities, MN",1
449,1972,Pro,NHL,Boston Bruins,"Greater Boston, MA",New York Rangers,New York Metro Area,Chicago Black Hawks,"Chicago, IL",St. Louis Blues,"St. Louis, MO",1
457,1973,Pro,NHL,Montreal Canadiens,"Montreal, QC",Chicago Black Hawks,"Chicago, IL",New York Rangers,New York Metro Area,Philadelphia Flyers,"Greater Philadelphia, PA",1
466,1974,Pro,NHL,Philadelphia Flyers,"Greater Philadelphia, PA",Boston Bruins,"Greater Boston, MA",New York Rangers,New York Metro Area,Chicago Black Hawks,"Chicago, IL",1
475,1975,Pro,NHL,Philadelphia Flyers,"Greater Philadelphia, PA",Buffalo Sabres,"Buffalo, NY",Montreal Canadiens,"Montreal, QC",New York Islanders,New York Metro Area,2
483,1976,Pro,NHL,Montreal Canadiens,"Montreal, QC",Philadelphia Flyers,"Greater Philadelphia, PA",Boston Bruins,"Greater Boston, MA",New York Islanders,New York Metro Area,1
491,1977,Pro,NHL,Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",Philadelphia Flyers,"Greater Philadelphia, PA",New York Islanders,New York Metro Area,2
499,1978,Pro,NHL,Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",Philadelphia Flyers,"Greater Philadelphia, PA",Toronto Maple Leafs,"Toronto, ON",3
509,1979,Pro,NHL,Montreal Canadiens,"Montreal, QC",New York Rangers,New York Metro Area,Boston Bruins,"Greater Boston, MA",New York Islanders,New York Metro Area,4
518,1980,Pro,NHL,New York Islanders,New York Metro Area,Philadelphia Flyers,"Greater Philadelphia, PA",Buffalo Sabres,"Buffalo, NY",Minnesota North Stars,"Twin Cities, MN",1
527,1981,Pro,NHL,New York Islanders,New York Metro Area,Minnesota North Stars,"Twin Cities, MN",Calgary Flames,"Calgary, AB",New York Rangers,New York Metro Area,2
538,1982,Pro,NHL,New York Islanders,New York Metro Area,Vancouver Canucks,"Vancouver, BC",Chicago Black Hawks,"Chicago, IL",Quebec Nordiques,"Quebec City, QC",3
550,1983,Pro,NHL,New York Islanders,New York Metro Area,Edmonton Oilers,"Edmonton, AB",Chicago Black Hawks,"Chicago, IL",Boston Bruins,"Greater Boston, MA",4
562,1984,Pro,NHL,Edmonton Oilers,"Edmonton, AB",New York Islanders,New York Metro Area,Minnesota North Stars,"Twin Cities, MN",Montreal Canadiens,"Montreal, QC",1
574,1985,Pro,NHL,Edmonton Oilers,"Edmonton, AB",Philadelphia Flyers,"Greater Philadelphia, PA",Chicago Blackhawks,"Chicago, IL",Quebec Nordiques,"Quebec City, QC",2
586,1986,Pro,NHL,Montreal Canadiens,"Montreal, QC",Calgary Flames,"Calgary, AB",St. Louis Blues,"St. Louis, MO",New York Rangers,New York Metro Area,1
598,1987,Pro,NHL,Edmonton Oilers,"Edmonton, AB",Philadelphia Flyers,"Greater Philadelphia, PA",Detroit Red Wings,"Metro Detroit, MI",Montreal Canadiens,"Montreal, QC",1
610,1988,Pro,NHL,Edmonton Oilers,"Edmonton, AB",Boston Bruins,"Greater Boston, MA",Detroit Red Wings,"Metro Detroit, MI",New Jersey Devils,New York Metro Area,2
622,1989,Pro,NHL,Calgary Flames,"Calgary, AB",Montreal Canadiens,"Montreal, QC",Chicago Blackhawks,"Chicago, IL",Philadelphia Flyers,"Greater Philadelphia, PA",1
634,1990,Pro,NHL,Edmonton Oilers,"Edmonton, AB",Boston Bruins,"Greater Boston, MA",Chicago Blackhawks,"Chicago, IL",Washington Capitals,"Washington, DC Metro Area",1
647,1991,Pro,NHL,Pittsburgh Penguins,"Pittsburgh, PA",Minnesota North Stars,"Twin Cities, MN",Edmonton Oilers,"Edmonton, AB",Boston Bruins,"Greater Boston, MA",1
660,1992,Pro,NHL,Pittsburgh Penguins,"Pittsburgh, PA",Chicago Blackhawks,"Chicago, IL",Edmonton Oilers,"Edmonton, AB",Boston Bruins,"Greater Boston, MA",2
673,1993,Pro,NHL,Montreal Canadiens,"Montreal, QC",Los Angeles Kings,"Greater Los Angeles, CA",Toronto Maple Leafs,"Toronto, ON",New York Islanders,New York Metro Area,1
685,1994,Pro,NHL,New York Rangers,New York Metro Area,Vancouver Canucks,"Vancouver, BC",Toronto Maple Leafs,"Toronto, ON",New Jersey Devils,New York Metro Area,1
695,1995,Pro,NHL,New Jersey Devils,New York Metro Area,Detroit Red Wings,"Metro Detroit, MI",Chicago Blackhawks,"Chicago, IL",Philadelphia Flyers,"Greater Philadelphia, PA",1
707,1996,Pro,NHL,Colorado Avalanche,"Denver, CO",Florida Panthers,"Greater Miami Area, FL",Detroit Red Wings,"Metro Detroit, MI",Pittsburgh Penguins,"Pittsburgh, PA",1
721,1997,Pro,NHL,Detroit Red Wings,"Metro Detroit, MI",Philadelphia Flyers,"Greater Philadelphia, PA",Colorado Avalanche,"Denver, CO",New York Rangers,New York Metro Area,1
735,1998,Pro,NHL,Detroit Red Wings,"Metro Detroit, MI",Washington Capitals,"Washington, DC Metro Area",Dallas Stars,"Dallas-Fort Worth, TX",Buffalo Sabres,"Buffalo, NY",2
747,1999,Pro,NHL,Dallas Stars,"Dallas-Fort Worth, TX",Buffalo Sabres,"Buffalo, NY",Colorado Avalanche,"Denver, CO",Toronto Maple Leafs,"Toronto, ON",1
761,2000,Pro,NHL,New Jersey Devils,New York Metro Area,Dallas Stars,"Dallas-Fort Worth, TX",Colorado Avalanche,"Denver, CO",Philadelphia Flyers,"Greater Philadelphia, PA",1
773,2001,Pro,NHL,Colorado Avalanche,"Denver, CO",New Jersey Devils,New York Metro Area,St. Louis Blues,"St. Louis, MO",Pittsburgh Penguins,"Pittsburgh, PA",1
786,2002,Pro,NHL,Detroit Red Wings,"Metro Detroit, MI",Carolina Hurricanes,"Greater Raleigh, NC",Colorado Avalanche,"Denver, CO",Toronto Maple Leafs,"Toronto, ON",1
799,2003,Pro,NHL,New Jersey Devils,New York Metro Area,Mighty Ducks of Anaheim,"Greater Los Angeles, CA",Minnesota Wild,"Twin Cities, MN",Ottaw Senators,"Ottawa, ON",1
813,2004,Pro,NHL,Tampa Bay Lightning,"Tampa Bay Area, FL",Calgary Flames,"Calgary, AB",San Jose Sharks,"San Jose-Santa Clara, CA",Philadelphia Flyers,"Greater Philadelphia, PA",1
839,2006,Pro,NHL,Carolina Hurricanes,"Greater Raleigh, NC",Edmonton Oilers,"Edmonton, AB",Mighty Ducks of Anaheim,"Greater Los Angeles, CA",Buffalo Sabres,"Buffalo, NY",1
852,2007,Pro,NHL,Anaheim Ducks,"Greater Los Angeles, CA",Ottawa Senators,"Ottawa, ON",Detroit Red Wings,"Metro Detroit, MI",Buffalo Sabres,"Buffalo, NY",1
864,2008,Pro,NHL,Detroit Red Wings,"Metro Detroit, MI",Pittsburgh Penguins,"Pittsburgh, PA",Dallas Stars,"Dallas-Fort Worth, TX",Philadelphia Flyers,"Greater Philadelphia, PA",1
878,2009,Pro,NHL,Pittsburgh Penguins,"Pittsburgh, PA",Detroit Red Wings,"Metro Detroit, MI",Chicago Blackhawks,"Chicago, IL",Carolina Hurricanes,"Greater Raleigh, NC",1
890,2010,Pro,NHL,Chicago Blackhawks,"Chicago, IL",Philadelphia Flyers,"Greater Philadelphia, PA",San Jose Sharks,"San Jose-Santa Clara, CA",Montreal Canadiens,"Montreal, QC",1
903,2011,Pro,NHL,Boston Bruins,"Greater Boston, MA",Vancouver Canucks,"Vancouver, BC",San Jose Sharks,"San Jose-Santa Clara, CA",Tampa Bay Lightning,"Tampa Bay Area, FL",1
916,2012,Pro,NHL,Los Angeles Kings,"Greater Los Angeles, CA",New Jersey Devils,New York Metro Area,Phoenix Coyotes,"Metro Phoenix, AZ",New York Rangers,New York Metro Area,1
928,2013,Pro,NHL,Chicago Blackhawks,"Chicago, IL",Boston Bruins,"Greater Boston, MA",Los Angeles Kings,"Greater Los Angeles, CA",Pittsburgh Penguins,"Pittsburgh, PA",1
942,2014,Pro,NHL,Los Angeles Kings,"Greater Los Angeles, CA",New York Rangers,New York Metro Area,Montreal Canadiens,"Montreal, QC",Chicago Blackhawks,"Chicago, IL",1
954,2015,Pro,NHL,Chicago Blackhawks,"Chicago, IL",Tampa Bay Lightning,"Tampa Bay Area, FL",New York Rangers,New York Metro Area,Anaheim Ducks,"Greater Los Angeles, CA",1
967,2016,Pro,NHL,Pittsburgh Penguins,"Pittsburgh, PA",San Jose Sharks,"San Jose-Santa Clara, CA",St. Louis Blues,"St. Louis, MO",Tampa Bay Lightning,"Tampa Bay Area, FL",1
980,2017,Pro,NHL,Pittsburgh Penguins,"Pittsburgh, PA",Nashville Predators,"Nashville, TN",Anaheim Ducks,"Greater Los Angeles, CA",Ottawa Senators,"Ottawa, ON",2
992,2018,Pro,NHL,Washington Capitals,"Washington, DC Metro Area",Vegas Golden Knights,"Las Vegas, NV",Winnipeg Jets,"Winnipeg, MB",Tampa Bay Lightning,"Tampa Bay Area, FL",1
543,1982,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Central Florida Knights,"Greater Orlando, FL",Connecticut Huskies,"Hartford, CT",University of Missouri,ERROR,1
555,1983,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",George Mason Patriots,"Washington, DC Metro Area",Massachusetts Minutemen,"Springfield, MA",Connecticut Huskies,"Hartford, CT",2
567,1984,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Connecticut Huskies,"Hartford, CT",Massachusetts Minutemen,"Springfield, MA",California Golden Bears,"San Francisco Bay Area, CA",3
579,1985,College,Soccer (W),George Mason Patriots,"Washington, DC Metro Area",North Carolina Tar Heels,"Greater Raleigh, NC",Colorado College Tigers,"Colorado Springs, CO",Massachusetts Minutemen,"Springfield, MA",1
591,1986,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Colorado College Tigers,"Colorado Springs, CO",George Mason Patriots,"Washington, DC Metro Area",Massachusetts Minutemen,"Springfield, MA",1
602,1987,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Massachusetts Minutemen,"Springfield, MA",Texas Longhorns,"Austin, TX",Central Florida Knights,"Greater Orlando, FL",2
614,1988,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",North Carolina State Wolfpack,"Greater Raleigh, NC",California Golden Bears,"San Francisco Bay Area, CA",Wisconsin Badgers,"Madison, WI",3
626,1989,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Colorado College Tigers,"Colorado Springs, CO",North Carolina State Wolfpack,"Greater Raleigh, NC",Santa Clara Broncos,"San Jose-Santa Clara, CA",4
638,1990,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Connecticut Huskies,"Hartford, CT",Colorado College Tigers,"Colorado Springs, CO",Santa Clara Broncos,"San Jose-Santa Clara, CA",5
652,1991,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Wisconsin Badgers,"Madison, WI",Colorado College Tigers,"Colorado Springs, CO",Virginia Cavaliers,"Charlottesville, VA",6
664,1992,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Duke Blue Devils,"Greater Raleigh, NC",Hartford Hawks,"Hartford, CT",Santa Clara Broncos,"San Jose-Santa Clara, CA",7
676,1993,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",George Mason Patriots,"Washington, DC Metro Area",Massachusetts Minutemen,"Springfield, MA",Stanford Cardinal,"San Francisco Bay Area, CA",8
687,1994,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Notre Dame Fighting Irish,"Notre Dame, IN",Connecticut Huskies,"Hartford, CT",Portland Pilots,"Portland Metro Area, OR",9
700,1995,College,Soccer (W),Notre Dame Fighting Irish,"Notre Dame, IN",Portland Pilots,"Portland Metro Area, OR",North Carolina Tar Heels,"Greater Raleigh, NC",Saint Mary's Gaels,"San Francisco Bay Area, CA",1
712,1996,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Notre Dame Fighting Irish,"Notre Dame, IN",Portland Pilots,"Portland Metro Area, OR",Santa Clara Broncos,"San Jose-Santa Clara, CA",1
725,1997,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Connecticut Huskies,"Hartford, CT",Notre Dame Fighting Irish,"Notre Dame, IN",Santa Clara Broncos,"San Jose-Santa Clara, CA",2
739,1998,College,Soccer (W),Florida Gators,"Gainesville, FL",North Carolina Tar Heels,"Greater Raleigh, NC",Portland Pilots,"Portland Metro Area, OR",Santa Clara Broncos,"San Jose-Santa Clara, CA",1
753,1999,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Notre Dame Fighting Irish,"Notre Dame, IN",Penn State Nittany Lions,"State College, PA",Santa Clara Broncos,"San Jose-Santa Clara, CA",1
765,2000,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",UCLA Bruins,"Greater Los Angeles, CA",Notre Dame Fighting Irish,"Notre Dame, IN",Portland Pilots,"Portland Metro Area, OR",2
778,2001,College,Soccer (W),Santa Clara Broncos,"San Jose-Santa Clara, CA",North Carolina Tar Heels,"Greater Raleigh, NC",Florida Gators,"Gainesville, FL",Portland Pilots,"Portland Metro Area, OR",1
792,2002,College,Soccer (W),Portland Pilots,"Portland Metro Area, OR",Santa Clara Broncos,"San Jose-Santa Clara, CA",North Carolina Tar Heels,"Greater Raleigh, NC",Penn State Nittany Lions,"State College, PA",1
805,2003,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Connecticut Huskies,"Hartford, CT",Florida State Seminoles,"Tallahassee, FL",UCLA Bruins,"Greater Los Angeles, CA",1
819,2004,College,Soccer (W),Notre Dame Fighting Irish,"Notre Dame, IN",UCLA Bruins,"Greater Los Angeles, CA",Princeton Tigers,"Princeton, NJ",Santa Clara Broncos,"San Jose-Santa Clara, CA",1
831,2005,College,Soccer (W),Portland Pilots,"Portland Metro Area, OR",UCLA Bruins,"Greater Los Angeles, CA",Florida State Seminoles,"Tallahassee, FL",Penn State Nittany Lions,"State College, PA",1
844,2006,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Notre Dame Fighting Irish,"Notre Dame, IN",Florida State Seminoles,"Tallahassee, FL",UCLA Bruins,"Greater Los Angeles, CA",1
856,2007,College,Soccer (W),South Carolina Gamecocks,"Columbia, SC",Florida State Seminoles,"Tallahassee, FL",Notre Dame Fighting Irish,"Notre Dame, IN",UCLA Bruins,"Greater Los Angeles, CA",1
869,2008,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Notre Dame Fighting Irish,"Notre Dame, IN",Stanford Cardinal,"San Francisco Bay Area, CA",UCLA Bruins,"Greater Los Angeles, CA",1
883,2009,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Stanford Cardinal,"San Francisco Bay Area, CA",Notre Dame Fighting Irish,"Notre Dame, IN",UCLA Bruins,"Greater Los Angeles, CA",2
895,2010,College,Soccer (W),Notre Dame Fighting Irish,"Notre Dame, IN",Stanford Cardinal,"San Francisco Bay Area, CA",Boston College Eagles,"Greater Boston, MA",Ohio State Buckeyes,"Columbus, OH",1
908,2011,College,Soccer (W),Stanford Cardinal,"San Francisco Bay Area, CA",Duke Blue Devils,"Greater Raleigh, NC",Florida State Seminoles,"Tallahassee, FL",Wake Forest Demon Deacons,"Winston-Salem, NC",1
921,2012,College,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Penn State Nittany Lions,"State College, PA",Florida State Seminoles,"Tallahassee, FL",Stanford Cardinal,"San Francisco Bay Area, CA",1
934,2013,College,Soccer (W),UCLA Bruins,"Greater Los Angeles, CA",Florida State Seminoles,"Tallahassee, FL",Virginia Cavaliers,"Charlottesville, VA",Virginia Tech Hokies,"Blacksburg, VA",1
946,2014,College,Soccer (W),Florida State Seminoles,"Tallahassee, FL",Virginia Cavaliers,"Charlottesville, VA",Stanford Cardinal,"San Francisco Bay Area, CA",Texas A&M Aggies,"College Station, TX",1
959,2015,College,Soccer (W),Penn State Nittany Lions,"State College, PA",Duke Blue Devils,"Greater Raleigh, NC",Florida State Seminoles,"Tallahassee, FL",Rutgers Scarlet Knights,"New Brunswick, NJ",1
973,2016,College,Soccer (W),South Carolina Gamecocks,"Columbia, SC",West Virginia Mountaineers,"Morgantown, WV",Georgetown Hoyas,"Washington, DC Metro Area",North Carolina Tar Heels,"Greater Raleigh, NC",1
986,2017,College,Soccer (W),Stanford Cardinal,"San Francisco Bay Area, CA",UCLA Bruins,"Greater Los Angeles, CA",South Carolina Gamecocks,"Columbia, SC",Duke Blue Devils,"Greater Raleigh, NC",1
531,1981,College,Volleyball (W),South Carolina Gamecocks,"Columbia, SC",UCLA Bruins,"Greater Los Angeles, CA",San Diego State Aztecs,"San Diego, CA",Pacific Tigers,"Stockton, CA",1
542,1982,College,Volleyball (W),Hawaii Warriors,"Honolulu, HI",South Carolina Gamecocks,"Columbia, SC",San Diego State Aztecs,"San Diego, CA",Stanford Cardinal,"San Francisco Bay Area, CA",1
554,1983,College,Volleyball (W),Hawaii Warriors,"Honolulu, HI",UCLA Bruins,"Greater Los Angeles, CA",Stanford Cardinal,"San Francisco Bay Area, CA",Pacific Tigers,"Stockton, CA",2
566,1984,College,Volleyball (W),UCLA Bruins,"Greater Los Angeles, CA",Stanford Cardinal,"San Francisco Bay Area, CA",Pacific Tigers,"Stockton, CA",San Jose State Spartans,"San Jose-Santa Clara, CA",1
578,1985,College,Volleyball (W),Pacific Tigers,"Stockton, CA",Stanford Cardinal,"San Francisco Bay Area, CA",South Carolina Gamecocks,"Columbia, SC",UCLA Bruins,"Greater Los Angeles, CA",1
590,1986,College,Volleyball (W),Pacific Tigers,"Stockton, CA",Nebraska Cornhuskers,"Lincoln, NE",Texas Longhorns,"Austin, TX",Stanford Cardinal,"San Francisco Bay Area, CA",2
603,1987,College,Volleyball (W),Hawaii Warriors,"Honolulu, HI",Stanford Cardinal,"San Francisco Bay Area, CA",Illinois Fighting Illini,"Champaign-Urbana, IL",Texas Longhorns,"Austin, TX",1
615,1988,College,Volleyball (W),Texas Longhorns,"Austin, TX",Hawaii Warriors,"Honolulu, HI",Illinois Fighting Illini,"Champaign-Urbana, IL",UCLA Bruins,"Greater Los Angeles, CA",1
627,1989,College,Volleyball (W),Long Beach State 49ers,"Greater Los Angeles, CA",Nebraska Cornhuskers,"Lincoln, NE",Texas-Arlington Mavericks,"Dallas-Fort Worth, TX",UCLA Bruins,"Greater Los Angeles, CA",1
639,1990,College,Volleyball (W),UCLA Bruins,"Greater Los Angeles, CA",Pacific Tigers,"Stockton, CA",LSU Fighting Tigers,"Baton Rouge, LA",Nebraska Cornhuskers,"Lincoln, NE",1
651,1991,College,Volleyball (W),UCLA Bruins,"Greater Los Angeles, CA",Long Beach State 49ers,"Greater Los Angeles, CA",LSU Fighting Tigers,"Baton Rouge, LA",Ohio State Buckeyes,"Columbus, OH",2
665,1992,College,Volleyball (W),Stanford Cardinal,"San Francisco Bay Area, CA",UCLA Bruins,"Greater Los Angeles, CA",Long Beach State 49ers,"Greater Los Angeles, CA",Florida Gators,"Gainesville, FL",1
677,1993,College,Volleyball (W),Long Beach State 49ers,"Greater Los Angeles, CA",Penn State Nittany Lions,"State College, PA",Brigham Young Cougars,"Provo, UT",Florida Gators,"Gainesville, FL",1
688,1994,College,Volleyball (W),Stanford Cardinal,"San Francisco Bay Area, CA",UCLA Bruins,"Greater Los Angeles, CA",Penn State Nittany Lions,"State College, PA",Ohio State Buckeyes,"Columbus, OH",1
699,1995,College,Volleyball (W),Nebraska Cornhuskers,"Lincoln, NE",Texas Longhorns,"Austin, TX",Stanford Cardinal,"San Francisco Bay Area, CA",Michigan State Spartans,"East Lansing, MI",1
713,1996,College,Volleyball (W),Stanford Cardinal,"San Francisco Bay Area, CA",Hawaii Warriors,"Honolulu, HI",Nebraska Cornhuskers,"Lincoln, NE",Florida Gators,"Gainesville, FL",1
726,1997,College,Volleyball (W),Stanford Cardinal,"San Francisco Bay Area, CA",Penn State Nittany Lions,"State College, PA",Long Beach State 49ers,"Greater Los Angeles, CA",Florida Gators,"Gainesville, FL",2
740,1998,College,Volleyball (W),Long Beach State 49ers,"Greater Los Angeles, CA",Penn State Nittany Lions,"State College, PA",Nebraska Cornhuskers,"Lincoln, NE",Florida Gators,"Gainesville, FL",1
752,1999,College,Volleyball (W),Penn State Nittany Lions,"State College, PA",Stanford Cardinal,"San Francisco Bay Area, CA",Long Beach State 49ers,"Greater Los Angeles, CA",Pacific Tigers,"Stockton, CA",1
766,2000,College,Volleyball (W),Nebraska Cornhuskers,"Lincoln, NE",Wisconsin Badgers,"Madison, WI",Hawaii Warriors,"Honolulu, HI",South Carolina Gamecocks,"Columbia, SC",1
779,2001,College,Volleyball (W),Stanford Cardinal,"San Francisco Bay Area, CA",Long Beach State 49ers,"Greater Los Angeles, CA",Arizona Wildcats,"Tucson, AZ",Nebraska Cornhuskers,"Lincoln, NE",1
791,2002,College,Volleyball (W),South Carolina Gamecocks,"Columbia, SC",Stanford Cardinal,"San Francisco Bay Area, CA",Hawaii Warriors,"Honolulu, HI",Florida Gators,"Gainesville, FL",1
804,2003,College,Volleyball (W),South Carolina Gamecocks,"Columbia, SC",Florida Gators,"Gainesville, FL",Hawaii Warriors,"Honolulu, HI",Minnesota Golden Gophers,"Twin Cities, MN",2
818,2004,College,Volleyball (W),Stanford Cardinal,"San Francisco Bay Area, CA",Minnesota Golden Gophers,"Twin Cities, MN",South Carolina Gamecocks,"Columbia, SC",Washington Huskies,"Seattle,WA",1
830,2005,College,Volleyball (W),Washington Huskies,"Seattle,WA",Nebraska Cornhuskers,"Lincoln, NE",Santa Clara Broncos,"San Jose-Santa Clara, CA",Tennessee Volunteers,"Knoxville, TN",1
843,2006,College,Volleyball (W),Nebraska Cornhuskers,"Lincoln, NE",Stanford Cardinal,"San Francisco Bay Area, CA",UCLA Bruins,"Greater Los Angeles, CA",Washington Huskies,"Seattle,WA",1
857,2007,College,Volleyball (W),Penn State Nittany Lions,"State College, PA",Stanford Cardinal,"San Francisco Bay Area, CA",California Golden Bears,"San Francisco Bay Area, CA",South Carolina Gamecocks,"Columbia, SC",1
870,2008,College,Volleyball (W),Penn State Nittany Lions,"State College, PA",Stanford Cardinal,"San Francisco Bay Area, CA",Nebraska Cornhuskers,"Lincoln, NE",Texas Longhorns,"Austin, TX",2
882,2009,College,Volleyball (W),Penn State Nittany Lions,"State College, PA",Texas Longhorns,"Austin, TX",Hawaii Warriors,"Honolulu, HI",Minnesota Golden Gophers,"Twin Cities, MN",3
